concept_id,source,en,de,tr,aliases_en,aliases_de,tree
RID0,radlex,RadLex ontology entity,Einheit der Radlex-Ontologie,,,,A00.radlex
RID1,radlex,RadLex entity,Radlex-Einheit,,,,A00.radlex
RID10,radlex,image quality,Bildqualität,,,,A00.radlex
RID10012,radlex,palatine aponeurosis,Gaumenaponeurose,,,Aponeurosis palatina,A00.radlex
RID10013,radlex,levator veli palatini muscle,Musculus levator veli palatini,,,,A00.radlex
RID10014,radlex,tensor veli palatini muscle,Musculus tensor veli palatini,,,,A00.radlex
RID10015,radlex,musculus uvulae muscle,Musculus uvulae,,uvular muscle,,A00.radlex
RID10045,radlex,vomeronasal organ,Jacobson-Organ,,Jacobson organ,,A00.radlex
RID10047,radlex,supreme nasal turbinate,Concha nasalis suprema,,highest nasal turbinate,,A00.radlex
RID10049,radlex,superior nasal turbinate,Concha nasalis superior,,,,A00.radlex
RID10050,radlex,middle nasal turbinate,Concha nasalis media,,,,A00.radlex
RID10051,radlex,inferior nasal turbinate,Concha nasalis inferior,,,,A00.radlex
RID10087,radlex,helicis major muscle,Musculus helicis major,,,,A00.radlex
RID10088,radlex,helicis minor muscle,Musculus helicis minor,,,,A00.radlex
RID10089,radlex,tragicus muscle,Musculus tragicus,,,,A00.radlex
RID1009,radlex,systemic vein,Systemische Vene,,,,A00.radlex
RID10090,radlex,pyramidal muscle of auricle,Musculus pyramidalis auriculae,,,,A00.radlex
RID10091,radlex,antitragus muscle,Musculus antitragus,,,,A00.radlex
RID10092,radlex,transverse muscle of auricle,Musculus transversus auriculae,,,,A00.radlex
RID10093,radlex,oblique muscle of auricle,Musculus obliquus auriculae,,,,A00.radlex
RID101,radlex,upper esophageal sphincter,Oberer Ösophagussphinkter,,,,A00.radlex
RID10178,radlex,anterior ligament of malleus,vorderes Hammerband,,,,A00.radlex
RID10179,radlex,superior ligament of malleus,oberes Hammerband,,,,A00.radlex
RID10180,radlex,lateral ligament of malleus,seitliches Hammerband,,,,A00.radlex
RID10181,radlex,superior ligament of incus,Oberes Ambossband,,,,A00.radlex
RID10182,radlex,posterior ligament of incus,hinteres Hammerband,,,,A00.radlex
RID10183,radlex,stapedial membrane,Steigbügelmembran,,,,A00.radlex
RID10184,radlex,annular ligament of stapes,ringförmiges Steigbügelband,,,,A00.radlex
RID10187,radlex,tensor tympani,Musculus tensor tympani,,,,A00.radlex
RID10188,radlex,stapedius,Musculus stapedius,,,,A00.radlex
RID10259,radlex,utricular duct,Ductus utricularis,,,,A00.radlex
RID10260,radlex,saccular duct,Ductus saccularis,,,,A00.radlex
RID10309,radlex,labyrinthine vein,Vena labyrinthi,,internal auditory vein,,A00.radlex
RID10311,radlex,imaging modality,Bildgebende Modalität,,,,A00.radlex
RID10315,radlex,magnetic resonance spectroscopy,Magnetresonanzspektroskopie,,spectro,,A00.radlex
RID10317,radlex,functional magnetic resonance imaging,funktionelle Magnetresonanztomographie,,functional MRI,fMRT,A00.radlex
RID10319,radlex,magnetic resonance angiography,Magnetresonanzangiographie,,,,A00.radlex
RID10323,radlex,quantitative computed tomography,quantitative Computertomografie,,quantitative CT,,A00.radlex
RID10330,radlex,nuclear medicine imaging,Nuklearmedizinische Bildgebung,,,,A00.radlex
RID10332,radlex,single photon imaging,Einzelphotonenbildgebung,,,,A00.radlex
RID10333,radlex,planar nuclear medicine imaging,Planare nuklearmedizinische Bildgebung,,,,A00.radlex
RID10336,radlex,bremsstrahlung imaging,Bildgebung mittels Bremsstrahlung,,,,A00.radlex
RID10349,radlex,computed radiography,Computerradiographie,,,,A00.radlex
RID10351,radlex,digital radiography,Digitale Radiographie,,,,A00.radlex
RID10353,radlex,screen-film radiography,Konventionelle Radiographie,,conventional radiography|plain film radiography,,A00.radlex
RID10356,radlex,dual-energy subtraction radiography,Dual-energy Subtraktionsradiographie,,,,A00.radlex
RID10358,radlex,conventional tomography,Konventionelle Tomographie,,,,A00.radlex
RID10359,radlex,tomosynthesis,Tomosynthese,,,,A00.radlex
RID10360,radlex,panographic radiograph,Panoramaradiographie,,,,A00.radlex
RID10363,radlex,dual energy xray absorptiometry,Dual-energy Röntgenabsorptiometrie,,DXA|dual energy x-ray absorptiometry,,A00.radlex
RID10365,radlex,catheter angiography,Katheterangiographie,,DSA,,A00.radlex
RID10367,radlex,interventional radiology procedure,Interventionell-radiologische Prozedur,,Ir|interventional radiology,,A00.radlex
RID10370,radlex,modality descriptor,Modifikator Modalität,,,,A00.radlex
RID10373,radlex,arthrography,Arthrographie,,arthro,,A00.radlex
RID10374,radlex,diffusion,Diffusion,,,,A00.radlex
RID10375,radlex,Doppler,Doppler,,,,A00.radlex
RID10376,radlex,perfusion imaging,Perfusionsbildgebung,,,,A00.radlex
RID10377,radlex,spectroscopy,Spektroskopie,,,,A00.radlex
RID10378,radlex,functional,funktionell,,,,A00.radlex
RID10379,radlex,venography,Venographie,,veno,,A00.radlex
RID10381,radlex,intervention,Intervention,,,,A00.radlex
RID10382,radlex,orderable technique,anforderbare Technik,,,,A00.radlex
RID10383,radlex,portable,portabel,,bedside|port,,A00.radlex
RID10385,radlex,dynamic,dynamisch,,,,A00.radlex
RID10386,radlex,limited evaluation,eingeschränkte Evaluation,,,,A00.radlex
RID10387,radlex,complete evaluation,komplette Evaluation,,,,A00.radlex
RID10388,radlex,orderable priority,anforderbare Priorität,,,,A00.radlex
RID10389,radlex,stat blue,Stat Blue,,,,A00.radlex
RID10390,radlex,stat,sofort,,,,A00.radlex
RID10391,radlex,urgent,dringend,,,,A00.radlex
RID10392,radlex,routine,Routine,,,,A00.radlex
RID10393,radlex,imaging purpose,Bildgebungszweck,,reason for exam,,A00.radlex
RID10394,radlex,diagnosis,Diagnose,,dx,,A00.radlex
RID10395,radlex,marking for intervention,Markierung für Intervention,,,,A00.radlex
RID10397,radlex,ablation,Ablation,,ablat|ablate,,A00.radlex
RID10398,radlex,aspiration of bodily substance,Gewebeaspiration,,aspiration of tissue or fluid|centesis|tissue or fluid aspiration,Aspiration,A00.radlex
RID10399,radlex,dilation of structure,Dilatation einer Struktur,,,,A00.radlex
RID10401,radlex,atherectomy,Atherektomie,,,,A00.radlex
RID10402,radlex,stent placement,Stentplatzierung,,,,A00.radlex
RID10403,radlex,thrombolysis,Thrombolyse,,,,A00.radlex
RID10404,radlex,embolization,Embolisation,,embolize,,A00.radlex
RID10405,radlex,temporary occlusion,temporärer Verschluss,,,,A00.radlex
RID10406,radlex,infusion,Infusion,,,,A00.radlex
RID10407,radlex,repair,Wiederherstellung,,,,A00.radlex
RID10408,radlex,object retrieval,Bergung,,retrieval,,A00.radlex
RID10409,radlex,measurement type,Messung,,measure|measurement|type of measurement,,A00.radlex
RID10410,radlex,narrow,Eingrenzung,,,,A00.radlex
RID10412,radlex,thrombectomy,Thrombektomie,,clot removal,,A00.radlex
RID10415,radlex,device removal,Materialentfernung,,,,A00.radlex
RID10416,radlex,shunt creation,Shuntanlage,,,,A00.radlex
RID10417,radlex,drainage,Drainage,,,,A00.radlex
RID10418,radlex,direct injection,Direktinjektion,,,,A00.radlex
RID10419,radlex,brachytherapy,Brachytherapie,,,,A00.radlex
RID10420,radlex,patient position,Patientenposition,,,,A00.radlex
RID10421,radlex,supine position,Rückenlage,,sup|supine,,A00.radlex
RID10422,radlex,prone position,Bauchlage,,pro|prone,,A00.radlex
RID10423,radlex,decubitus position,liegend,,decub|decubitis|decubitus,,A00.radlex
RID10424,radlex,right lateral decubitus position,rechtsliegend,,right decubitis|right decubitus|right lateral decubitus|rt decub,,A00.radlex
