concept_id,source,en,de,tr,aliases_en,aliases_de,tree
RID10365,radlex,catheter angiography,Katheterangiographie,,DSA,,A00.radlex
RID10367,radlex,interventional radiology procedure,Interventionell-radiologische Prozedur,,Ir|interventional radiology,,A00.radlex
RID10373,radlex,arthrography,Arthrographie,,arthro,,A00.radlex
RID10374,radlex,diffusion,Diffusion,,,,A00.radlex
RID10376,radlex,perfusion imaging,Perfusionsbildgebung,,,,A00.radlex
RID10379,radlex,venography,Venographie,,veno,,A00.radlex
RID10395,radlex,marking for intervention,Markierung für Intervention,,,,A00.radlex
RID10397,radlex,ablation,Ablation,,ablat|ablate,,A00.radlex
RID10398,radlex,aspiration of bodily substance,Gewebeaspiration,,aspiration of tissue or fluid|centesis|tissue or fluid aspiration,Aspiration,A00.radlex
RID10399,radlex,dilation of structure,Dilatation einer Struktur,,,,A00.radlex
RID10401,radlex,atherectomy,Atherektomie,,,,A00.radlex
RID10402,radlex,stent placement,Stentplatzierung,,,,A00.radlex
RID10403,radlex,thrombolysis,Thrombolyse,,,,A00.radlex
RID10404,radlex,embolization,Embolisation,,embolize,,A00.radlex
RID10405,radlex,temporary occlusion,temporärer Verschluss,,,,A00.radlex
RID10406,radlex,infusion,Infusion,,,,A00.radlex
RID10407,radlex,repair,Wiederherstellung,,,,A00.radlex
RID10408,radlex,object retrieval,Bergung,,retrieval,,A00.radlex
RID10412,radlex,thrombectomy,Thrombektomie,,clot removal,,A00.radlex
RID10415,radlex,device removal,Materialentfernung,,,,A00.radlex
RID10416,radlex,shunt creation,Shuntanlage,,,,A00.radlex
RID10417,radlex,drainage,Drainage,,,,A00.radlex
RID10419,radlex,brachytherapy,Brachytherapie,,,,A00.radlex
RID11030,radlex,balloon dilation procedure,Ballondilatation,,balloon dilatation procedure,,A00.radlex
RID11031,radlex,angioplasty,Angioplastie,,,,A00.radlex
RID11032,radlex,tract dilation,Dilatation einer Strecke,,track dilatation,,A00.radlex
RID11034,radlex,cholangioplasty,Cholangioplastie,,biliary dilatation,,A00.radlex
RID11036,radlex,urinary tract dilatation,Harnwegsdilatation,,,,A00.radlex
RID11037,radlex,sequential dilation of a structure,sequentielle Dilatation einer Struktur,,,,A00.radlex
RID11043,radlex,balloon deployment,Balloneinsatz,,,,A00.radlex
RID11044,radlex,monorail deployment,Monorail-Einsatz,,,,A00.radlex
RID11045,radlex,over-the-wire deployment,over-the-wire Einsatz,,,,A00.radlex
RID11161,radlex,intravenous bolus,intravenöser Bolus,,,,A00.radlex
RID11162,radlex,intravenous drip,intravenös Infusion,,,,A00.radlex
RID11204,radlex,transcutaneous needle puncture,transkutane Nadelpunktion,,,,A00.radlex
RID11515,radlex,progressive disease,progressive Erkrankung,,,,A00.radlex
RID11517,radlex,index tumor,Indextumor,,,,A00.radlex
