concept_id,source,en,de,tr,aliases_en,aliases_de,tree
MESH:D007072|Q79447,wikidata-mesh,immunoglobulin D,Immunglobulin D,,immunoglobulin d,,D12.776.124.486.485.114.619.251|D12.776.124.790.651.114.619.251|D12.776.377.715.548.114.619.251
MESH:D015107|Q79739,wikidata-mesh,butyrolactone,γ-Butyrolacton,,"tetrahydrofuran-2-one|Tetrahydro-2-furanone|Paint Clean G|oxolan-2-one|gamma-Butyryllactone|gamma-Butalactone|g-Hydroxybutyric acid lactone|g-Butyryllactone|g-Butyrolactone|g-Butalactone|dihydrofuran-2(3h)-one|Butyric acid lactone|4,5-Dihydro-2(3H)-furanone|4-Hydroxybutyric acid lactone|4-Hydroxybutanoic acid lactone|4-Hydroxy-Butanoic acid g-lactone|4-Deoxytetronate|4-Butyrolactone|4-butanolide|2,3,4,5-Tetrahydro-2-furanone|2-Oxotetrahydrofuran|2-oxolanone|1,4-Lactone|1-Oxacyclopentan-2-one|Liquid Ecstasy|Easy Lay|4-Hydroxybutanoate|4-Hydroxy-Butanoic acid|4-Hydroxy-Butanoate|GBL|Fantasy|gamma-butyrolactone|γ-butyrolactone|4-Hydroxybutanoic acid|Scoop","GBL|1-Oxa-cyclopentan-2-on|4-Butanolid|Butyro-1,4-lacton",D02.540.150|D03.383.312.150
MESH:D005632|Q122043,wikidata-mesh,keto-D-fructose,D-(−)-Fructose (offenkettig),Fruktoz,levulose|fruit sugar|D-fructose (open structure)|D-arabino-hexulose|C6H12O6|fruit fructose|fructose isolate|crystaline fructose|fructose|D-fructofuranose|D-(-)-Fructose,Fruktose|Fruchtzucker|D-Fructose|Lävulose,D09.947.875.359.250|D09.947.875.465.354
MESH:C002003|Q148937,wikidata-mesh,bentazone,Bentazon,,,,
MESH:D000068698|Q155954,wikidata-mesh,tenofovir disoproxil,Tenofovir,Tenofovir,Viread|Tenofovir (anh.)|GS-1278|Anhydrous tenofovir|Anh. tenofovir|(R)-PMPA|(R)-9-(2-phosphonomethoxypropyl)adenine|PMPA|tenofovir anhydrous,Atripla|Truvada|Viread,D02.705.429.906|D03.633.100.759.138.881
MESH:D003061|Q174723,wikidata-mesh,codeine,Codein,Kodein,"O3-Methylmorphine|O(3)-methylmorphine|Norcodine, N-Methyl|morphine-3-methyl ether|Morphine monomethyl ether|morphine monomethyl ether|morphine 3-methyl ether|Methylmorphine|methylmorphine|L-Codeine|l-codeine|Coducept|Codicept®|Codicept|Codeinum|Codeine polistirex|Codeine anhydrous|Codéine|Codeína|Codein|7,8-didehydro-4,5α-epoxy-3-methoxy-17-methylmorphinan-6α-ol|7,8-didehydro-4,5alpha-epoxy-3-methoxy-17-methylmorphinan-6alpha-ol|3-methylmorphine|3-Methylmorphin|(5α,6α)-7,8-didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol|(5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol|(1S,13R,14S,17R)-10-methoxy-4-methyl-12-oxa-4-azapentacyclo[9.6.1.0(1,13).0(5,17).0(7,18)]octadeca-7(18),8,10,15-tetraen-14-ol|(−)-Codeine|(-)-Codeine|codeine anhydrous|Codeine",Kodein|Codeinentzug|Codeinhydrochlorid-Didydrat|Codeinphosphat-Hemihydrat|Codeinphosphat-Sesquihydrat,D03.132.577.249.562.149|D03.605.497.607.204|D03.633.400.686.607.204|D04.615.723.795.576.149
MESH:D014364|Q181003,wikidata-mesh,tryptophan,Tryptophan,Triptofan,L-(−)-tryptophan|L-(-)-Tryptophan|Indole-3-alanine|(S)-α-amino-1H-indole-3-propanoic acid|(S)-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid|(S)-alpha-amino-1H-indole-3-propanoic acid|(S)-2-Amino-3-(1H-indol-3-yl)propanoic acid|(2S)-2-amino-3-(1H-indol-3-yl)Propanoic acid|(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid|(-)-Tryptophan|W|L-tryptophan|Trp|L(-)-Tryptophan|L-β-3-indolylalanine|L-Trp|L-beta-3-Indolylalanine|L-alpha-Amino-3-indolepropionic acid,L-Tryptophan|Triptofan|Triptophan|Tryptofan|5HTP|5hydroxytryptophan,D12.125.072.050.850|D12.125.142.875
MESH:D011850|Q185252,wikidata-mesh,radioactive waste,radioaktiver Abfall,Radyoaktif atık,radioactive hazardous waste|nuclear waste,Atommüll|hochradioaktiver Abfall|radioaktiver Müll|strahlender Abfall,D20.693.638|D20.944.380.638|D27.888.426.500.638|N06.850.460.710.380.638|N06.850.810.485
MESH:C032688|Q187045,wikidata-mesh,orthoboric acid,Borsäure,Borik asit,o-boric acid|hydrogen borate|boracic acid|boric acid,Borwasser|Borhydroxid|Borsäuretitration|E 284|E284|H3BO3|Orthoborsäure|Trihydrogenborat,
MESH:D010417|Q189334,wikidata-mesh,pentaerythritol tetranitrate,Nitropenta,PETN,"PETN|Pentaerithrityl tetranitrate|tetranitropentaerythritol|tetranitrato de pentaeritritilo|tetranitrate de pentaerithrityle|penthrite|pentaerythritylium tetranitricum|Pentaerythritol Tetranitrate|pentaerithrityli tetranitras|PENTA|nitropentaerythritol|nitropentaerythrite|nitropenta|neopentanetetrayl nitrate|corpent|3-(nitrooxy)-2,2-bis[(nitrooxy)methyl]propyl nitrate|2,2-bis(hydroxymethyl)-1,3-propanediol tetranitrate|2,2-bis((nitrooxy)methyl)-1,3-propanediol dinitrate ester|2,2-bis((nitrooxy)methyl)-1,3-propanediol dinitrate|1,3-dinitrato-2,2-bis(nitratomethyl)propane|PENT|TEN",Nirason|Pentaerythrittetranitrat|Pentalong|Pentrit|PETN,D02.033.455.706.690
MESH:D006816|Q190564,wikidata-mesh,Huntington's disease,Chorea Huntington,Huntington hastalığı,Huntington’s disease|Huntington's chorea|Huntington Chorea|HD,Chorea major|Erblicher Veitstanz|Huntingtin|Huntington-Chorea|Huntington-Krankheit|Huntington-Syndrom|Huntington's disease|Huntingtonkrankheit|Huntingtonsche Krankheit|Morbus Huntington,C10.228.662.262.249.750|C10.228.140.079.545|C10.228.140.380.278|C10.574.500.497|C16.320.400.430|F03.615.250.400|F03.615.400.390
